BPM,GSR,stress_level
60,2299,0
78,2282,0
78,2301,0
78,2267,0
78,2299,0
78,2298,0
78,2299,0
78,2297,0
76,2295,0
76,2299,0
76,2299,0
76,2299,0
76,2299,0
76,2297,0
76,2288,0
79,2297,0
79,2298,0
79,2299,0
79,2303,0
79,2299,0
79,2320,0
79,2303,0
85,2290,0
85,2297,0
85,2301,0
85,2298,0
85,2299,0
85,2295,0
85,2295,0
77,2298,0
77,2300,0
77,2289,0
77,2289,0
77,2295,0
77,2298,0
77,2301,0
77,2295,0
74,2299,0
74,2340,0
74,2299,0
74,2295,0
74,2356,0
74,2291,0
74,2302,0
74,2298,0
74,2299,0
70,2297,0
70,2297,0
70,2293,0
70,2283,0
70,2292,0
70,2294,0
70,2293,0
69,2292,0
69,2290,0
69,2311,0
69,2289,0
69,2293,0
69,2289,0
69,2290,0
69,2289,0
66,2293,0
66,2295,0
66,2290,0
66,2301,0
66,2293,0
66,2294,0
70,2289,0
70,2289,0
70,2289,0
70,2304,0
70,2288,0
70,2283,0
70,2288,0
70,2285,0
70,2288,0
70,2288,0
69,2291,0
69,2290,0
69,2285,0
69,2283,0
69,2289,0
69,2294,0
69,1979,0
69,2288,0
69,2288,0
69,2287,0
69,2287,0
69,2288,0
69,2289,0
69,2287,0
69,2285,0
59,2288,0
59,2211,0
59,2283,0
59,2279,0
59,2287,0
59,2287,0
59,2282,0
60,2285,0
60,2288,0
60,2284,0
60,2287,0
60,2286,0
60,2251,0
60,2285,0
60,2284,0
58,2285,0
58,2286,0
58,2282,0
58,2285,0
58,2283,0
58,2282,0
58,2279,0
58,2285,0
58,2279,0
58,2283,0
58,2282,0
58,2282,0
58,2279,0
58,2279,0
58,2278,0
58,2276,0
58,2270,0
67,2199,0
67,2273,0
67,2273,0
67,2273,0
67,2272,0
74,2272,0
74,2271,0
74,2271,0
74,2271,0
74,2368,0
74,2269,0
74,2267,0
74,2271,0
71,2270,0
71,2213,0
71,2270,0
71,2266,0
71,2270,0
71,2268,0
71,2267,0
71,2271,0
75,2269,0
75,2268,0
75,2271,0
75,2271,0
75,2224,0
75,2270,0
78,2268,0
78,2267,0
78,2256,0
78,2263,0
78,2266,0
78,2269,0
78,2263,0
78,2266,0
70,2265,0
70,2263,0
70,2223,0
70,2256,0
70,2259,0
70,2262,0
70,2265,0
74,2258,0
74,2256,0
74,2261,0
74,2262,0
74,2256,0
74,2261,0
74,2261,0
73,2208,0
73,2403,0
73,2256,0
73,2257,0
73,2256,0
73,2256,0
73,2256,0
72,2256,0
72,2255,0
72,2254,0
72,2252,0
72,2255,0
72,2254,0
72,2254,0
72,2254,0
72,2251,0
72,2258,0
72,2244,0
72,2253,0
72,2255,0
72,2250,0
72,2249,0
72,2250,0
69,2250,0
69,2220,0
69,2255,0
69,2256,0
69,2241,0
69,2251,0
69,2320,0
72,2253,0
72,2299,0
72,2259,0
72,2255,0
72,2253,0
72,2254,0
72,2245,0
72,2240,0
72,2270,0
67,2247,0
67,2253,0
67,2252,0
67,2247,0
67,2234,0
67,2250,0
67,2234,0
67,2251,0
69,2249,0
69,2250,0
69,2251,0
69,2251,0
69,2249,0
69,2250,0
72,2250,0
72,2248,0
72,2241,0
72,2250,0
72,2246,0
72,2254,0
72,2251,0
71,2298,0
71,2247,0
71,2244,0
71,2242,0
71,2245,0
71,2245,0
71,2243,0
71,2242,0
74,2943,0
74,2243,0
74,2238,0
74,2240,0
74,2236,0
74,2234,0
75,2235,0
75,2233,0
75,2380,0
75,2235,0
75,2234,0
75,2238,0
75,2259,0
74,2229,0
74,2224,0
74,2227,0
74,2238,0
74,2225,0
74,2229,0
74,2231,0
75,2231,0
75,2224,0
75,2225,0
75,2227,0
75,2230,0
75,2231,0
75,2231,0
76,2231,0
76,2229,0
76,2229,0
76,2234,0
76,2228,0
76,2235,0
76,2229,0
76,2229,0
74,2231,0
74,2230,0
74,2233,0
74,2227,0
74,2243,0
74,2231,0
74,2460,0
73,2231,0
73,2229,0
73,2233,0
73,2175,0
73,2229,0
73,2231,0
73,2230,0
73,2229,0
73,2229,0
69,2226,0
69,2229,0
69,2229,0
69,2229,0
69,2227,0
69,2240,0
70,2227,0
70,2230,0
70,2224,0
70,2224,0
70,2176,0
70,2227,0
70,2224,0
73,2225,0
73,2229,0
73,2225,0
73,2226,0
73,2225,0
73,2215,0
73,2238,0
74,2340,0
74,2224,0
74,2224,0
74,2368,0
74,2222,0
74,2225,0
74,2224,0
76,2227,0
76,2075,0
76,2226,0
76,2224,0
76,2233,0
76,2224,0
76,2225,0
76,2224,0
74,2224,0
74,2225,0
74,2224,0
74,2225,0
74,2288,0
74,2226,0
74,2224,0
72,2099,0
72,2224,0
72,2226,0
72,2222,0
72,2225,0
72,2215,0
72,2224,0
71,2224,0
71,2179,0
71,2224,0
71,2222,0
71,2213,0
71,2219,0
71,2215,0
72,2217,0
72,2224,0
72,2222,0
72,2221,0
72,2217,0
72,2211,0
72,2222,0
72,3189,0
72,2224,0
72,2220,0
72,2224,0
72,2223,0
72,1921,0
72,2213,0
72,2218,0
71,2220,0
71,2215,0
71,2266,0
71,2222,0
71,2217,0
71,2233,0
71,2218,0
71,2218,0
71,2218,0
71,2085,0
71,1728,0
71,2217,0
71,2218,0
71,2215,0
71,2209,0
72,2213,0
72,2217,0
72,2213,0
72,2214,0
72,2211,0
72,2215,0
72,2212,0
73,2227,0
73,2187,0
73,2213,0
73,2213,0
73,2208,0
73,2215,0
73,2213,0
74,2205,0
74,2205,0
74,2213,0
74,1776,0
74,2214,0
74,2215,0
74,2217,0
74,2215,0
72,2215,0
72,2259,0
72,2203,0
72,2212,0
72,2219,0
72,2213,0
72,2214,0
72,2211,0
72,2224,0
69,2162,0
69,2212,0
69,2215,0
69,2213,0
69,2215,0
69,2211,0
69,2212,0
68,2211,0
68,2213,0
68,2230,0
68,2215,0
68,2219,0
68,2117,0
68,2210,0
68,2211,0
67,2215,0
67,2191,0
67,2213,0
67,2217,0
67,2209,0
67,2211,0
67,2209,0
67,2211,0
67,2210,0
67,2211,0
67,2210,0
67,2109,0
67,2220,0
67,2212,0
67,2202,0
67,2203,0
68,2206,0
68,2208,0
68,2211,0
68,2213,0
68,2208,0
68,2204,0
68,2205,0
68,2204,0
68,2209,0
68,2209,0
68,2210,0
68,2211,0
68,2223,0
68,2439,0
68,2211,0
68,2209,0
68,2229,0
68,2210,0
68,2207,0
68,2210,0
68,2211,0
68,2211,0
68,2211,0
68,2211,0
68,2211,0
68,2208,0
68,2210,0
68,2208,0
68,2208,0
68,2207,0
68,2210,0
67,2211,0
67,2193,0
67,2311,0
67,2209,0
67,2258,0
67,2209,0
67,2207,0
67,2208,0
67,2208,0
67,2270,0
67,2209,0
67,2820,0
67,2209,0
67,2208,0
69,2208,0
69,2207,0
69,2207,0
69,2208,0
69,2203,0
69,2198,0
69,2204,0
69,2207,0
70,2209,0
70,2382,0
70,2206,0
70,2209,0
70,2207,0
70,2208,0
70,2239,0
70,2407,0
71,2208,0
71,2207,0
71,2208,0
71,2208,0
71,2208,0
71,2208,0
71,2206,0
71,2204,0
68,2208,0
68,2205,0
68,2206,0
68,2208,0
68,2203,0
68,2204,0
68,2207,0
69,2207,0
69,2203,0
69,2199,0
69,2207,0
69,2239,0
69,2205,0
69,2205,0
69,2202,0
69,2197,0
69,2274,0
69,2200,0
69,2194,0
69,2196,0
69,2194,0
60,2193,0
60,2196,0
60,2023,0
60,2192,0
60,2198,0
60,2202,0
60,2192,0
60,2192,0
61,2194,0
61,2196,0
61,2193,0
61,2211,0
61,2195,0
61,2195,0
61,2193,0
63,2140,0
63,2193,0
63,2198,0
63,2185,0
63,2198,0
63,2198,0
63,2198,0
60,2325,0
60,2295,0
60,2315,0
60,2293,0
60,2295,0
60,2291,0
60,2294,0
60,2294,0
60,2289,0
60,2291,0
60,2309,0
60,2289,0
59,2288,0
59,2288,0
59,2294,0
59,2347,0
59,2285,0
59,2279,0
59,2284,0
59,2278,0
59,2289,0
59,2221,0
59,2292,0
59,2289,0
59,2290,0
59,2289,0
59,2289,0
59,2292,0
59,2291,0
59,2289,0
59,2293,0
59,2291,0
59,2291,0
59,2293,0
59,2290,0
59,2292,0
59,2293,0
59,2341,0
59,2293,0
59,2291,0
59,2275,0
59,2291,0
59,2291,0
59,2290,0
59,2289,0
59,2298,0
59,2288,0
59,2290,0
59,2239,0
59,2291,0
59,2289,0
59,2293,0
59,2288,0
59,2288,0
59,2286,0
59,2290,0
59,2291,0
59,2269,0
59,2288,0
59,2288,0
59,2292,0
59,2289,0
59,2256,0
59,2289,0
59,2367,0
59,2288,0
59,2290,0
59,2288,0
59,2293,0
59,2288,0
59,2289,0
59,2289,0
59,2325,0
59,2291,0
59,2289,0
59,2289,0
59,2291,0
59,2290,0
59,2288,0
59,2288,0
59,2288,0
59,2288,0
59,2288,0
59,2289,0
59,2290,0
59,2291,0
